Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL068C	PAU8	I	-	1807	2169	1.867769	116.903572	293.106323
YAL067W-A	YAL067W-A	I	+	2480	2707	0.162281	10.157161	25.466524
YAL067C	SEO1	I	-	7235	9016	0.126824	7.937909	19.902309
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.217911	13.639040	34.196461
YAL064W-B	YAL064W-B	I	+	12046	12426	1.133858	70.968117	177.934708
YAL064C-A	TDA8	I	-	13363	13743	0.262467	16.427797	41.188572
YAL064W	YAL064W	I	+	21566	21850	0.000000	0.000000	0.000000
YAL063C-A	YAL063C-A	I	-	22395	22685	0.000000	0.000000	0.000000
YAL063C	FLO9	I	-	24000	27968	0.206034	12.895658	32.332619
YAL062W	GDH3	I	+	31567	32940	1.594735	99.814392	250.259476
YAL061W	BDH2	I	+	33448	34701	1.506379	94.284195	236.393906
YAL060W	BDH1	I	+	35155	36303	6.659558	416.821442	1045.074951
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	10.395148	650.631836	1631.295654
YAL058W	CNE1	I	+	37464	38972	4.729215	296.001343	742.148926
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	4.863039	304.377380	763.149719
YAL055W	PEX22	I	+	42177	42719	0.694291	43.455643	108.954094
YAL054C	ACS1	I	-	42881	45022	0.410987	25.723656	64.495598
YAL053W	FLC2	I	+	45899	48250	10.525143	658.768250	1651.695557
YAL051W	OAF1	I	+	48564	51707	4.218263	264.020905	661.965942
YAL049C	AIM2	I	-	51855	52595	8.020918	502.028870	1258.711182
YAL048C	GEM1	I	-	52801	54789	2.279035	142.644699	357.645691
YAL047W-A	YAL047W-A	I	+	54584	54913	0.000000	0.000000	0.000000
YAL047C	SPC72	I	-	54989	56857	1.636169	102.407738	256.761658
YAL046C	AIM1	I	-	57029	57385	4.700280	294.190338	737.608215
YAL045C	YAL045C	I	-	57488	57796	0.000000	0.000000	0.000000
YAL044W-A	YAL044W-A	I	+	57518	57850	5.717718	357.871704	897.273315
YAL044C	GCV3	I	-	57950	58462	19.962963	1249.480957	3132.759277
YAL043C	PTA1	I	-	58695	61052	5.413115	338.806610	849.472412
YAL042C-A	YAL042C-A	I	-	61231	61608	0.000000	0.000000	0.000000
YAL042W	ERV46	I	+	61316	62563	23.423878	1466.099365	3675.875732
YAL041W	CDC24	I	+	62840	65404	5.807408	363.485382	911.348206
YAL040C	CLN3	I	-	65778	67520	5.709382	357.349976	895.965149
YAL039C	CYC3	I	-	68716	69525	3.591358	224.782928	563.586670
