Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
YAL069W	YAL069W	I	+	335	649	0.301588	35.463821	69.531898
YAL068W-A	YAL068W-A	I	+	538	792	0.490195	57.642174	113.015732
YAL068C	PAU8	I	-	1807	2169	5.055949	594.530579	1165.662231
YAL067W-A	YAL067W-A	I	+	2480	2707	0.000000	0.000000	0.000000
YAL067C	SEO1	I	-	7235	9016	0.228208	26.835045	52.613949
YAL066W	YAL066W	I	+	10091	10399	0.000000	0.000000	0.000000
YAL065C	YAL065C	I	-	11565	11951	0.512371	60.249855	118.128471
YAL064W-B	YAL064W-B	I	+	12046	12426	0.448819	52.776760	103.476387
YAL064C-A	TDA8	I	-	13363	13743	0.000000	0.000000	0.000000
YAL064W	YAL064W	I	+	21566	21850	0.508772	59.826649	117.298714
YAL063C-A	YAL063C-A	I	-	22395	22685	0.360825	42.429516	83.189148
YAL063C	FLO9	I	-	24000	27968	0.408807	48.071735	94.251518
YAL062W	GDH3	I	+	31567	32940	2.421640	284.761353	558.315430
YAL061W	BDH2	I	+	33448	34701	6.620415	778.496521	1526.353882
YAL060W	BDH1	I	+	35155	36303	10.494344	1234.032959	2419.498291
YAL059C-A	YAL059C-A	I	-	36496	36918	0.000000	0.000000	0.000000
YAL059W	ECM1	I	+	36509	37147	6.732394	791.664185	1552.171021
YAL058W	CNE1	I	+	37464	38972	3.523527	414.332550	812.358337
YAL056C-A	YAL056C-A	I	-	38696	39046	0.000000	0.000000	0.000000
YAL056W	GPB2	I	+	39259	41901	5.007283	588.807922	1154.442139
YAL055W	PEX22	I	+	42177	42719	1.478821	173.894989	340.946045
YAL054C	ACS1	I	-	42881	45022	0.504512	59.325714	116.316559
YAL053W	FLC2	I	+	45899	48250	11.600462	1364.101685	2674.516846
YAL051W	OAF1	I	+	48564	51707	3.907976	459.540039	900.994080
YAL049C	AIM2	I	-	51855	52595	9.703105	1140.990845	2237.076172
YAL048C	GEM1	I	-	52801	54789	2.354056	276.814117	542.733765
YAL047W-A	YAL047W-A	I	+	54584	54913	0.139235	16.372684	32.100994
YAL047C	SPC72	I	-	54989	56857	2.194308	258.029327	505.903442
YAL046C	AIM1	I	-	57029	57385	2.651736	311.818420	611.364624
YAL045C	YAL045C	I	-	57488	57796	0.227044	26.698170	52.345585
YAL044W-A	YAL044W-A	I	+	57518	57850	7.206737	847.442322	1661.531982
YAL044C	GCV3	I	-	57950	58462	28.167641	3312.241211	6494.123047
YAL043C	PTA1	I	-	58695	61052	5.842663	687.040466	1347.041138
